NAME,PARTIES
MUNERATO Emanuela,Lega Nord e Autonomie;Misto;Noi con l'Italia
MUSSINI Maria,Movimento 5 Stelle;Misto
MUSSOLINI Alessandra,Il Popolo della Libertà
NACCARATO Paolo,Lega Nord e Autonomie;Grandi Autonomie e Libertà;Nuovo Centrodestra;Grandi Autonomie e Libertà
NAPOLITANO Giorgio,Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE
NENCINI Riccardo,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
NUGNES Paola,Movimento 5 Stelle
OLIVERO Andrea,Scelta Civica per l'Italia;Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE
ORELLANA Luis Alberto,Movimento 5 Stelle;Misto;Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE
ORRU' Pamela Giacoma Giovanna,Partito Democratico
PADUA Venera,Partito Democratico
PAGANO Pippo,Il Popolo della Libertà;Nuovo Centrodestra
PAGLIARI Giorgio,Partito Democratico
PAGLINI Sara,Movimento 5 Stelle
PAGNONCELLI Lionello Marco,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Alleanza Liberalpopolare-Autonomie"
PALERMO Francesco,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
PALMA Nitto Francesco,Il Popolo della Libertà
PANIZZA Franco,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
PARENTE Annamaria,Partito Democratico
PEGORER Carlo,Partito Democratico;Articolo 1 - Movimento democratico e progressista
PELINO Paola,Il Popolo della Libertà
PEPE Bartolomeo,"Movimento 5 Stelle;Misto;Grandi Autonomie e Libertà (Grande Sud, Libertà e Autonomia-noi SUD, Movimento per le Autonomie, Nuovo PSI, Popolari per l'Italia, Italia dei Valori, Vittime della Giustizia e del Fisco)"
PERRONE Luigi,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Noi con l'Italia"
PETRAGLIA Alessia,Misto
PETROCELLI Vito Rosario,Movimento 5 Stelle
PEZZOPANE Stefania,Misto;Partito Democratico
PIANO Renzo,Misto;Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE
PICCINELLI Enrico,Il Popolo della Libertà;Alleanza Liberalpopolare-Autonomie;Forza Italia-Il Popolo della Libertà XVII Legislatura
PICCOLI Giovanni,Il Popolo della Libertà;Misto;Forza Italia-Il Popolo della Libertà XVII Legislatura
PIGNEDOLI Leana,Partito Democratico
PINOTTI Roberta,Partito Democratico
PIZZETTI Luciano,Partito Democratico
PUGLIA Sergio,Movimento 5 Stelle
PUGLISI Francesca,Partito Democratico
PUPPATO Laura,Partito Democratico
QUAGLIARIELLO Gaetano,"Il Popolo della Libertà;Nuovo Centrodestra;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati, Movimento Base Italia, Idea);Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
RANUCCI Raffaele,Partito Democratico
RAZZI Antonio,Il Popolo della Libertà
REPETTI Manuela,Il Popolo della Libertà;Misto;Alleanza Liberalpopolare-Autonomie;Misto
RICCHIUTI Lucrezia,Partito Democratico;Articolo 1 - Movimento democratico e progressista
RIZZOTTI Maria,Il Popolo della Libertà
ROMANI Maurizio,Movimento 5 Stelle;Misto
ROMANI Paolo,Il Popolo della Libertà
ROMANO Lucio,Scelta Civica per l'Italia;Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE
ROSSI Gianluca,Partito Democratico
ROSSI Luciano,Il Popolo della Libertà;Nuovo Centrodestra
ROSSI Mariarosaria,Il Popolo della Libertà
ROSSI Maurizio,Scelta Civica per l'Italia;Misto
RUBBIA Carlo,Misto;Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE
RUSSO Francesco,Partito Democratico
RUTA Roberto,Partito Democratico
RUVOLO Giuseppe,Il Popolo della Libertà;Grandi Autonomie e Libertà;Alleanza Liberalpopolare-Autonomie;Misto;Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro
SACCONI Maurizio,Il Popolo della Libertà;Nuovo Centrodestra
SAGGESE Angelica,Partito Democratico
SANGALLI Gian Carlo,Partito Democratico
SANTANGELO Vincenzo,Movimento 5 Stelle
SANTINI Giorgio,Partito Democratico
SCALIA Francesco,Partito Democratico
SCAVONE Antonio,Misto;Grandi Autonomie e Libertà;Alleanza Liberalpopolare-Autonomie;Noi con l'Italia
SCHIFANI Renato,Il Popolo della Libertà;Nuovo Centrodestra;Forza Italia-Il Popolo della Libertà XVII Legislatura
SCIASCIA Salvatore,Il Popolo della Libertà
SCIBONA Marco,Movimento 5 Stelle
SCILIPOTI ISGRO' Domenico,Il Popolo della Libertà
SCOMA Francesco,Il Popolo della Libertà
SEGRE Liliana,
SERAFINI Giancarlo,Il Popolo della Libertà
SERRA Manuela,Movimento 5 Stelle
SIBILIA Cosimo,Il Popolo della Libertà
SILVESTRO Annalisa,Partito Democratico
SIMEONI Ivana,Movimento 5 Stelle;Misto
SOLLO Pasquale,Partito Democratico
SONEGO Lodovico,Partito Democratico;Articolo 1 - Movimento democratico e progressista
SPILABOTTE Maria,Partito Democratico
SPOSETTI Ugo,Partito Democratico
STEFANI Erika,Lega Nord e Autonomie
STEFANO Dario,Misto
STUCCHI Giacomo,Lega Nord e Autonomie
SUSTA Gianluca,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Partito Democratico
TARQUINIO Lucio,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Noi con l'Italia"
TAVERNA Paola,Movimento 5 Stelle
TOCCI Walter,Partito Democratico
TOMASELLI Salvatore,Partito Democratico
TONINI Giorgio,Partito Democratico
TORRISI Salvatore,Il Popolo della Libertà;Nuovo Centrodestra
TOSATO Paolo,Lega Nord e Autonomie
TREMONTI Giulio,Lega Nord e Autonomie;Grandi Autonomie e Libertà
TRONTI Mario,Partito Democratico
TURANO Renato Guerino,Misto;Partito Democratico
URAS Luciano,Misto
VACCARI Stefano,Partito Democratico
VACCIANO Giuseppe,Movimento 5 Stelle;Misto
VALDINOSI Mara,Partito Democratico
VALENTINI Daniela,Partito Democratico
VATTUONE Vito,Partito Democratico
VERDINI Denis,Il Popolo della Libertà;Alleanza Liberalpopolare-Autonomie
VERDUCCI Francesco,Partito Democratico
VERRO Antonio,Il Popolo della Libertà
VICARI Simona,Il Popolo della Libertà;Nuovo Centrodestra
VICECONTE Guido,Il Popolo della Libertà;Nuovo Centrodestra
VILLARI Riccardo,"Il Popolo della Libertà;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Movimento Base Italia, Idea, Euro-Exit)"
VOLPI Raffaele,Lega Nord e Autonomie
ZANDA Luigi,Partito Democratico
ZANETTIN Pierantonio,Il Popolo della Libertà
ZANONI Magda Angela,Partito Democratico
ZAVOLI Sergio,Partito Democratico
ZELLER Karl,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
ZIN Claudio,"Scelta Civica per l'Italia;Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
ZIZZA Vittorio,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Noi con l'Italia"
ZUFFADA Sante,Il Popolo della Libertà
